Points: 33
Width: 0.0442424
Duration: 6.93351e+11
0.504752 0.54256 0.748325
0.544297 0.532842 0.660858
0.583105 0.532842 0.612266
0.619561 0.552279 0.505362
0.657274 0.600871 0.38874
0.695364 0.620308 0.330429
0.734593 0.668901 0.213807
0.772177 0.688338 0.116622
0.811539 0.678619 0.0485927
0.850519 0.61059 0
0.887711 0.571716 0
0.924821 0.464812 0.00971826
0.962437 0.377346 0.077748
1 0.377346 0.077748

Points: 18
Width: 0.0261806
Duration: 131.297
Centroid: 0.781319 0.887986
0 0.283819 0.562335
0.0746288 0.307693 0.538462
0.105719 0.307693 0.490717
0.152742 0.307693 0.442972
0.182282 0.307693 0.371354
0.241652 0.307693 0.299736
0.301116 0.331565 0.25199
0.364956 0.37931 0.1565
0.431021 0.37931 0.1565
0.492922 0.37931 0.25199
0.555171 0.427055 0.490717
0.621186 0.474801 0.705571
0.684546 0.498674 0.753317
0.745069 0.618038 0.77719
0.80822 0.761274 0.753317
0.874631 0.928382 0.681698
0.936491 1 0.657826
1 1 0.657826

Points: 24
Width: 0.0258334
Duration: 184.763
Centroid: 0.910417 0.885833
0 0.685483 0.677418
0.0525945 0.637096 0.701612
0.0747149 0.588709 0.749999
0.106523 0.564515 0.798386
0.141985 0.540322 0.870966
0.188596 0.516128 0.919354
0.234466 0.419354 0.96774
0.278866 0.370967 0.96774
0.325139 0.225806 0.798386
0.367715 0.104838 0.532257
0.414175 0.080645 0.314516
0.458932 0.104838 0.217742
0.50337 0.249999 0.169354
0.547906 0.39516 0.193548
0.595356 0.516128 0.387096
0.639131 0.540322 0.48387
0.686243 0.564515 0.604838
0.731579 0.564515 0.629031
0.775999 0.564515 0.48387
0.821235 0.564515 0.387096
0.865835 0.685483 0.096774
0.911784 0.758063 0.048387
0.955123 0.879031 0
1 0.879031 0

Points: 29
Width: 0.0361638
Duration: 222.144
Centroid: 0.0625862 0.72931
0 0.360548 0.68236
0.0169689 0.360548 0.61323
0.0441517 0.325983 0.595948
0.0636412 0.274136 0.561383
0.101646 0.274136 0.509536
0.139968 0.274136 0.440406
0.174853 0.256853 0.26758
0.213103 0.256853 0.215733
0.251006 0.256853 0.181168
0.28793 0.256853 0.181168
0.32677 0.256853 0.284863
0.362792 0.274136 0.47497
0.401199 0.291418 0.561383
0.439846 0.343266 0.647795
0.474955 0.395113 0.665078
0.51346 0.412396 0.647795
0.549308 0.446961 0.5441
0.589926 0.464243 0.509536
0.626331 0.516091 0.509536
0.663586 0.58522 0.5441
0.701257 0.637068 0.595948
0.739392 0.72348 0.716925
0.77714 0.775328 0.786055
0.813671 0.809893 0.75149
0.849629 0.86174 0.61323
0.890189 0.879023 0.526818
0.926847 0.93087 0.371276
0.963036 1 0.250298
1 1 0.250298

